EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c)
0,60003,-0.00360501,-0.00537859,0.00644073
0,60005,0.00226158,0.00217372,6.45805e-06
0,60007,-0.00175787,-0.00137135,0.00429289
0,60009,0.000743887,-0.00130996,0.0022923
0,60011,0.0083404,0.000443069,-0.000987906
0,60013,0.00355841,-0.00168729,0.0155552
0,60015,0.00546848,0.00245901,0.0071359
0,60017,0.00109583,-0.000379835,0.00387055
0,60019,0.0029526,0.00347229,0.00099184
0,60020,-0.00139252,-0.00251623,-0.000164003
0,60022,0.00335634,0.00197128,-0.000439158
0,60023,-0.00204912,-0.00353897,1.55707e-05
0,60025,-0.00250999,-0.00262631,-0.00964587
0,60026,0.00327079,0.000121904,-0.00217294
