EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c)
0,60003,-0.0101046,0.00315901,0.0281079,0.0300356
0,60004,0.00274061,-0.00143961,-0.000269875,0.00310745
0,60006,0.00254187,0.00557107,1.04506e-05,0.00612356
0,60007,0.00287901,0.000846122,0.0104013,0.0108255
0,60009,-0.0146629,-0.0156597,-9.21495e-05,0.0214531
0,60011,-0.00251072,-0.00108299,0.00173468,0.00323816
0,60013,-0.0203601,-0.0081997,0.0282559,0.0357794
0,60015,6.263e-05,0.00280091,0.00267283,0.00387209
0,60017,0.00439863,-0.00224929,0.000340895,0.00495212
0,60019,0.000514615,-0.0014221,0.00256027,0.00297358
0,60021,0.00813396,0.00342078,0.0143509,0.0168467
0,60023,0.00269159,8.04947e-05,0.00236025,0.00358077
0,60025,-0.00806258,0.00114686,0.00258739,0.00854489
0,60027,-0.00396784,0.000223644,0.0280912,0.0283709
0,60029,-0.00569276,-0.00145953,5.41087e-05,0.00587713
0,60031,0.0163502,0.00302964,0.00240967,0.0168022
0,60033,-0.0065512,-0.0459197,0.0572057,0.073648
0,60034,-0.00804085,-0.013472,0.0113321,0.0193537
0,60035,-0.00778525,0.00373304,0.00499287,0.00997369
0,60037,0.00180844,0.000579711,0.00629607,0.00657624
0,60039,0.00160944,0.00179986,0.00165679,0.00292827
0,60041,-0.000150685,-0.00770165,0.00736624,0.0106583
0,60043,0.00188324,-0.00417844,0.00843575,0.00960041
0,60045,0.00170142,-0.0103215,0.0240409,0.0262181
0,60046,-0.00155726,-0.00335847,-0.000479849,0.00373291
0,60048,-0.00870593,-0.00201261,-0.0345894,0.0357249
0,60049,-0.00131906,0.00246733,-0.00411282,0.00497423
0,60051,-0.0297112,-0.0218219,0.0240501,0.0440154
0,60054,0.0211544,-0.0533883,0.042004,0.0711488
0,60055,0.00110415,0.00371694,0.00536707,0.00662119
0,60057,-0.0138425,0.00380422,0.0514192,0.0533856
0,60059,-0.0182381,0.0220827,-0.0299258,0.0414226
0,60060,-0.0620542,0.017873,-0.0278788,0.0703377
0,60061,-0.0044536,0.00115713,-0.0320272,0.0323561
0,60062,-0.00748173,0.00704876,0.00284214,0.0106649
0,60064,-0.00101731,-0.00483589,0.00290412,0.0057319
0,60066,-0.00176867,-0.00283711,0.00165744,0.00373155
0,60068,0.000664884,-0.000852898,0.00278417,0.00298683
0,60070,-0.039117,0.0111984,0.0112596,0.0422175
0,60075,-0.00657168,-0.00667157,-0.00376155,0.0100919
0,60077,-0.00497074,-0.00725302,0.00375759,0.00956211
0,60079,0.00161462,-0.0040394,0.00234001,0.00493957
0,60081,-0.00374056,0.000776266,0.00162459,0.00415135
0,60083,0.00177073,-0.00451509,0.00352798,0.00599735
0,60085,0.00250513,0.00334641,-0.00369509,0.00557923
0,60086,0.0125643,-0.0017697,0.040482,0.0424239
0,60088,-0.004342,-0.0122834,0.00590451,0.0143038
0,60090,-0.00344271,-0.00558833,6.1821e-05,0.00656396
0,60092,0.00245491,0.00174669,-0.000681105,0.00308892
0,60094,0.00206428,-0.00416127,0.0096694,0.0107273
0,60097,-0.00205511,-0.00185523,-0.0051698,0.00586448
0,60099,0.00445629,0.00211939,0.00101797,0.00503851
0,60101,0.00611183,0.000869479,-0.0239666,0.0247489
0,60102,0.00120247,-0.017231,0.00110011,0.0173079
0,60103,0.0017,0.000405349,0.0041386,0.00449247
0,60105,-0.0208969,0.0257005,-0.00857331,0.0342155
0,60106,0.0271153,-0.0234976,0.0354868,0.0504647
0,60108,0.014683,-0.00816709,-0.00195049,0.0169143
0,60109,-0.00743411,0.000550369,-0.00175957,0.00765931
0,60111,-0.0344816,-0.0287386,0.0775398,0.0895952
0,60112,-0.00689659,-0.0060509,5.72869e-05,0.00917495
0,60114,6.06318e-05,0.00282226,0.00546348,0.00614967
0,60117,-0.00772397,0.0585214,-0.0454291,0.0744864
0,60116,0.00745381,0.00656803,0.0234167,0.025437
0,60121,-0.00683273,0.00548551,0.00359805,0.00947222
0,60123,-0.000305963,-0.00195085,-0.00189622,0.00273771
0,60125,0.00822495,-0.00589474,0.0217771,0.0240133
0,60127,0.0261319,0.0113011,0.0344245,0.0446725
0,60131,-0.00363166,-0.00344964,-0.00134982,0.00518758
0,60133,0.00736801,0.00122061,-0.000534711,0.00748755
0,60135,0.00903095,-0.015698,0.00477665,0.0187297
0,60138,-0.0035036,-0.0213356,0.00773931,0.0229648
0,60140,0.00965241,-0.00480347,0.00264528,0.0111013
0,60142,-0.00360651,0.00483468,0.000319868,0.00604014
0,60144,-0.00183223,0.000323747,0.00385408,0.0042797
0,60146,0.0016304,0.00282978,0.00242596,0.00406831
0,60148,-0.010815,0.00124375,0.019854,0.0226427
0,60150,-0.000582991,0.00808395,0.00504417,0.0095464
0,60151,-0.00519435,0.0203574,0.0108634,0.023652
0,60152,-0.0142274,-0.0069383,0.00180193,0.0159313
0,60154,0.00217756,0.0120572,0.0156088,0.0198432
0,60156,0.0115686,0.0528733,0.077566,0.0945828
0,60158,0.0259341,-0.047979,0.00661596,0.0549393
0,60159,-0.000980205,-0.00471474,-0.00306687,0.00570922
0,60161,-0.00113294,0.00344536,0.00440216,0.00570377
0,60163,0.00412574,-0.0247138,0.00136661,0.0250931
0,60164,-0.0457915,-0.102027,0.0106346,0.112337
0,60165,-0.00415211,0.00275771,0.00495531,0.00702852
0,60167,-0.00249348,0.0155653,0.0047309,0.0164583
0,60168,0.00252708,-0.00371292,-0.00012086,0.00449294
0,60170,-0.0114369,0.0103304,0.00520497,0.0162669
0,60172,0.000652705,-0.00668386,0.0203096,0.0213911
0,60174,0.000209015,-0.00230843,0.00281027,0.00364283
0,60176,0.00719384,0.00452458,0.00451074,0.00962133
0,60178,-0.005383,0.00455718,0.00279733,0.00758746
0,60180,0.00369347,0.00179942,-0.00122889,0.00428834
0,60182,0.0123762,-0.00206709,0.0141424,0.0189064
0,60183,-0.02159,-0.0523739,0.0192805,0.0598405
0,60186,-0.00280146,-0.000584721,0.00276905,0.00398217
0,60188,-0.00195588,0.000563749,0.00249961,0.00322356
0,60190,-0.00878195,0.0119582,0.00610791,0.0160446
0,60191,0.0102025,-0.000754642,0.0144422,0.0176985
0,60193,-0.00610859,-0.00282863,0.00119906,0.00683767
0,60195,0.0011504,-0.00100151,0.00315578,0.00350505
0,60197,0.000333202,-0.00264972,-0.000420872,0.00270355
0,60199,-0.0311647,0.0210457,0.00599992,0.038081
0,60200,-0.00501783,0.0134772,-0.00370629,0.0148509
0,60201,0.000709511,-0.000930943,-0.0037341,0.00391325
0,60203,0.0866117,-0.0133447,-0.0346251,0.0942262
0,60204,4.42239e-05,0.00137789,0.00566061,0.00582607
0,60206,0.00770403,-0.0303139,0.0139732,0.0342569
0,60208,0.00415813,0.010492,0.00545087,0.0125334
0,60209,-0.0074396,-0.0221509,0.00691053,0.0243673
0,60211,-0.00481277,0.00454603,0.00288686,0.0072224
0,60213,-0.00054939,0.0010612,0.00529912,0.00543219
0,60215,0.0614552,0.0141823,0.144687,0.157836
0,60216,0.0196168,-0.0235141,-0.00806972,0.0316678
0,60217,0.0291006,0.0146384,0.0172218,0.0368472
0,60219,-0.0032043,-0.000763422,0.0168914,0.0172096
0,60218,-0.00226622,-0.00109167,0.00155757,0.00295863
0,60222,-0.00661922,0.00379541,0.000642171,0.00765713
0,60224,0.0201503,-0.0162293,0.0105215,0.0279308
0,60226,-0.00796413,-0.0220466,-0.0133447,0.0269733
0,60229,-0.00490334,0.00214202,0.00561529,0.00775645
0,60231,-0.000430624,0.00276169,0.00268563,0.00387621
0,60233,-0.00109508,0.00235915,0.000545743,0.00265756
0,60235,-0.000888406,0.000696436,0.00251419,0.00275598
0,60237,-0.0320403,-0.015792,0.0323288,0.0481779
0,60238,-0.000105499,-0.00576615,0.00834311,0.0101423
0,60240,-0.00400391,-0.00369194,0.000611876,0.00548052
0,60242,-0.00287771,0.00029652,-0.000246579,0.00290344
0,60244,0.0205858,-0.0341939,0.0514362,0.0651051
0,60245,0.113803,-0.000993777,0.0397112,0.120537
0,60246,0.0201241,0.0417399,0.00027054,0.0463387
0,60247,0.00735786,0.00470531,-0.00635027,0.0107983
0,60248,-0.00619165,0.00382227,0.0293993,0.0302864
0,60249,-0.000427286,-0.00503108,-0.000783333,0.00510959
0,60251,0.0254762,0.0283991,0.0303009,0.0487205
0,60252,0.00370787,-0.00197805,-0.00863389,0.00960235
0,60253,0.00174042,0.00223974,0.00273402,0.00393959
0,60255,0.00764561,-0.0107915,-0.00214963,0.013399
0,60257,-0.00736196,0.0103607,0.0103889,0.0164156
0,60258,0.000934347,-0.00252203,2.65232e-05,0.00268967
0,60260,0.00153851,0.00912167,0.0155931,0.0181306
0,60263,0.0104912,0.00853018,0.0184816,0.0228998
0,60265,-0.0050981,-0.00113593,0.0034707,0.0062711
0,60267,0.00081361,-0.00159601,0.00561518,0.00589402
0,60269,0.00743029,-0.00141924,0.00693294,0.010261
0,60271,0.0214097,-0.00703703,0.000606917,0.0225447
0,60272,-0.00346182,0.000661976,0.00219071,0.00414989
0,60274,-0.00271058,0.000362992,0.00986855,0.0102405
0,60276,-0.0383878,0.00889122,0.0509512,0.0644104
0,60277,0.00296036,0.00472149,-0.0226953,0.0233695
0,60278,-0.00295668,-0.00897976,0.0144189,0.0172419
0,60279,-0.00798064,-0.00187641,0.00835705,0.0117069
0,60281,0.00883631,9.71964e-05,0.00747716,0.0115757
0,60283,0.00253744,0.000717454,0.000719374,0.00273328
0,60285,0.00796534,-0.00336524,0.00800181,0.0117814
0,60287,0.00182567,0.00178605,0.00327415,0.00415248
0,60289,-0.00884523,-0.0432689,-0.00590313,0.0445565
0,60290,-0.00294264,-0.0188751,-0.0787249,0.0810095
0,60291,0.00206889,-0.00135746,0.00656226,0.00701329
0,60293,-0.0155288,0.0182283,-0.00417454,0.0243072
0,60294,0.0202924,-0.0213305,0.00906367,0.0308045
0,60295,0.000756813,-0.00276238,0.00231588,0.00368331
0,60297,0.00383854,-0.000448757,-0.00240762,0.00455329
0,60299,-0.000144398,0.0121399,0.0558043,0.0571097
0,60301,0.00287996,0.00207845,0.00231393,0.00423892
0,60303,0.00326478,-0.000597967,-0.00191428,0.00383155
0,60305,0.00961741,0.00356754,0.00583748,0.0118025
0,60307,-0.001378,-0.00101522,0.00890593,0.00906892
0,60309,0.0101346,-0.0308272,0.0259875,0.0415738
0,60310,-0.00323311,0.000401817,0.00107081,0.00342945
0,60312,-0.00162399,-0.00240447,0.00117254,0.00312949
0,60314,-0.00465767,-0.00250594,0.00560717,0.00770805
0,60316,-0.0126791,0.0292622,0.0375021,0.0492285
0,60318,0.000613929,-0.00153679,0.00417399,0.00449008
0,60320,0.00866373,-0.00699342,-0.000957675,0.0111752
0,60322,-0.00146531,0.00177572,0.00168549,0.00285328
0,60324,-0.00331711,0.00212264,-0.00106232,0.00407889
0,60326,0.00374116,0.00662757,0.00277225,0.00809977
0,60328,0.00657029,0.0124728,-0.0113005,0.0180677
0,60329,-0.00193083,-0.00145177,-0.00103235,0.00262707
0,60331,0.0019608,0.00116053,0.0030141,0.00377841
0,60333,-0.0700061,-0.00790694,-0.0603191,0.0927457
0,60334,0.00380409,-0.00107644,0.000216155,0.00395936
0,60336,0.00530795,0.00169456,-0.00288754,0.00627565
0,60337,-0.00542489,0.00151943,0.0042465,0.00705484
0,60339,-0.00417429,-0.00385506,0.00124732,0.00581738
0,60341,0.00259316,-0.000665566,0.00217445,0.00344901
0,60343,0.00224632,-0.00733019,-0.00184078,0.00788455
0,60345,-0.000147014,-0.00169542,0.0031552,0.00358488
0,60347,0.0082125,0.00654584,0.0027563,0.0108577
0,60349,0.00445482,0.0029852,0.00127092,0.00551108
0,60351,-0.0068743,0.00258367,0.000821399,0.00738959
0,60352,-0.000102706,0.000382756,0.00273658,0.00276513
0,60354,-0.00170142,-0.00626368,0.00662794,0.00927675
0,60356,-0.0130978,-0.0333306,0.0206669,0.0413474
0,60357,0.00257687,0.00818364,0.015315,0.0175545
0,60360,-0.0034152,-0.0119336,0.00587632,0.0137334
0,60361,-0.00154077,0.0152467,0.0100865,0.0183459
0,60362,0.00212189,0.00145317,0.000704566,0.00266655
0,60364,0.0355681,-0.0242503,-0.00566091,0.043419
0,60365,-0.000787986,-0.003169,0.00303684,0.00445936
0,60367,-0.0109456,0.00389016,0.0321438,0.0341784
0,60370,-0.00327221,-0.000713645,-0.000627785,0.00340745
0,60372,-0.000265165,-0.00252639,-0.00392121,0.00467214
0,60374,0.00246039,-0.00106516,0.00303837,0.00405213
0,60376,-0.00295416,0.0072056,-0.000126641,0.00778869
0,60377,-0.00204363,0.00353592,-0.000540831,0.00411966
0,60379,-0.0389206,0.0611749,0.0805378,0.108367
0,60380,0.00201297,-0.00735792,-0.00378575,0.00851604
0,60382,-0.00486401,0.0021508,0.00787393,0.00950175
0,60384,-0.012047,0.00131437,-0.00534816,0.0132462
0,60386,0.0370803,-0.00291662,0.0274599,0.0462331
0,60388,-0.00489921,0.00511936,0.00319973,0.00777485
0,60390,-0.00530985,0.0048964,-0.00294205,0.00779903
0,60391,0.000460628,0.00174986,0.00224846,0.00288613
0,60393,-0.00351227,-0.00110313,0.00532573,0.00647428
0,60395,-0.00112976,-0.0322471,0.0251003,0.04088
0,60396,0.0118159,0.0158684,0.00774029,0.0212446
0,60397,-0.0251718,-0.0133345,0.0172396,0.0332961
0,60400,0.0057143,0.00170106,0.0025471,0.0064834
0,60402,0.00162387,-0.00319106,0.00491988,0.00608482
0,60404,-0.00326874,-0.00062897,0.00980762,0.0103571
0,60406,0.0002259,0.00333947,0.00607062,0.00693221
0,60408,-0.021003,-0.00182646,-0.00279545,0.0212668
0,60410,0.0394949,0.0230876,0.0651497,0.0796076
0,60412,0.00344701,0.00481517,0.0101344,0.0117377
0,60414,-0.000579363,0.00569707,-0.00269305,0.00632809
0,60415,-0.00111741,0.00339566,0.00248996,0.00435649
0,60417,-0.00272493,-0.00159089,0.00327186,0.00454546
0,60419,-0.00407152,-0.00253489,0.00663166,0.00818425
0,60422,-0.000108117,0.0011614,0.00408937,0.00425246
0,60421,0.00271483,-0.0063971,0.0133495,0.01505
0,60425,0.002697,-0.00129017,-0.00050528,0.00303211
0,60427,-0.00724605,0.021335,0.0110689,0.0251039
0,60428,-0.00431781,0.00138919,6.99585e-05,0.00453632
0,60430,0.0133757,0.00866722,-0.00144863,0.016004
0,60433,0.00114769,-0.0021744,0.00806722,0.00843358
0,60435,-0.00854276,0.0378798,-0.00609429,0.0393065
0,60436,-0.00380021,0.00645443,-0.00178642,0.00770017
0,60437,0.000706504,-0.0111832,0.0341811,0.035971
0,60439,-0.00630472,-0.0157751,-0.0102135,0.0198221
0,60441,-0.00197074,0.0012579,0.00392406,0.00456775
0,60443,0.00271158,-0.00245908,0.0163194,0.0167249
0,60445,-0.00344834,-0.00444587,0.004135,0.00698248
0,60447,-0.00288142,0.00114413,-9.38206e-05,0.00310168
0,60449,-0.00752805,0.00237391,0.00613251,0.00999573
0,60451,0.00155757,-0.00151056,0.00189891,0.00288335
0,60453,0.00541431,0.00501492,0.0194466,0.0207999
0,60455,0.00483052,0.0192402,0.0193964,0.0277441
0,60456,0.00677059,0.00879174,0.00351193,0.0116391
0,60457,-0.00488788,-0.00447594,-0.000949159,0.00669524
0,60459,-0.00767194,-2.39432e-05,0.0061586,0.00983807
0,60461,-0.00500643,-0.00929265,0.00775597,0.0130986
0,60463,0.00652884,0.00369736,0.0113424,0.0135995
0,60465,-0.00213313,0.00178502,-0.00354255,0.00450402
0,60466,0.00408323,-0.00668668,0.00360136,0.0086229
0,60468,-0.000954926,-0.00112742,0.00522676,0.00543157
0,60470,-0.00175629,-0.00296828,0.000946545,0.00357648
0,60472,-0.00130938,-0.00708909,0.0133991,0.0152153
0,60474,-0.0114035,0.00604678,0.00563345,0.0140833
0,60476,0.00541913,0.00376977,0.0040082,0.00772294
0,60478,0.000289454,-0.000543712,0.00266697,0.00273718
0,60480,0.00301375,-0.00102336,-0.000170733,0.00318733
0,60482,0.0147303,0.014519,-0.00504993,0.0212905
0,60483,-0.0014692,-0.00435923,0.00968517,0.0107221
0,60485,-0.0243491,-0.0318963,-0.00946193,0.0412284
0,60486,0.00324799,-0.00807763,0.0125013,0.0152342
0,60488,0.00813487,-0.00272087,-0.00155291,0.00871727
0,60487,0.00467078,0.00176244,0.00628626,0.00802742
0,60491,0.0079769,-0.0116231,0.0137519,0.0196937
0,60493,-0.000585887,0.00358468,0.00115164,0.00381044
0,60495,0.00425055,0.0037996,0.00125111,0.0058369
0,60497,-0.00786278,-0.00355345,0.020659,0.0223885
0,60499,-0.000917497,-0.00264985,0.00583729,0.00647592
0,60501,-0.000525914,-0.000477164,0.0034281,0.00350087
0,60503,-0.025116,0.0236076,0.0153364,0.0377272
0,60504,0.012352,-0.00934327,0.00277845,0.0157349
0,60506,0.00434641,-0.00110909,0.000706045,0.00454091
0,60508,0.0038771,-0.000599022,-0.000658661,0.00397801
0,60510,0.0074884,-0.00422392,0.00634051,0.0106827
0,60512,0.0128617,-0.0268864,0.00984888,0.0313896
0,60513,-0.00204119,0.00779243,0.0109754,0.0136143
0,60515,-0.00355375,0.0129615,-0.0369106,0.0392813
0,60516,-0.00389323,-0.00301085,0.000212548,0.00492622
0,60518,0.00435461,0.00475624,-0.00701572,0.00952915
0,60519,0.0142936,-0.0143764,0.00258983,0.0204376
0,60520,-0.00140266,-0.0019451,0.00248954,0.00345668
0,60522,0.0244069,0.00487363,0.0410897,0.0480397
0,60523,0.00426931,0.0183216,-0.000578993,0.0188213
0,60524,-0.0112622,0.00565043,0.00357504,0.0130975
0,60526,0.00835066,-0.000674049,-0.0205009,0.0221466
0,60527,0.000225555,-0.0016535,0.00319454,0.00360417
0,60529,-0.00746681,0.00275523,0.0195739,0.0211301
0,60534,0.0148051,0.0174495,0.00630497,0.0237366
0,60535,-0.00122772,-0.00241327,-0.000977136,0.00287853
0,60537,-0.00548889,-0.00187653,-2.1675e-05,0.00580084
0,60539,0.00105752,0.000632216,0.00438245,0.00455235
0,60541,0.00196239,-0.000141585,0.00462403,0.00502521
0,60543,-0.000470833,-0.00204866,-0.00184552,0.00279726
0,60545,0.00164903,0.00194023,0.00248733,0.00355958
0,60547,0.00033315,0.0105543,0.000256232,0.0105627
0,60548,0.00116948,0.00172154,0.00238418,0.00316476
0,60550,0.0377871,-0.00687561,-5.21293e-06,0.0384075
0,60552,0.0111925,-0.0111556,0.0227287,0.0276824
0,60553,-0.00164957,-0.00148338,0.0049321,0.00540805
0,60555,-0.00142352,-0.0164752,0.0268367,0.0315225
0,60557,0.00154977,0.00463565,0.00462848,0.00673156
0,60559,2.26416e-05,-0.00348556,0.00775576,0.00850302
0,60561,-0.00408968,0.00160308,0.00276367,0.00518972
0,60563,-0.0467553,0.0356196,0.0443112,0.073609
0,60564,0.000542528,0.0119564,0.0073413,0.0140408
0,60565,-0.0156978,0.00616767,0.00602932,0.0179113
0,60567,0.0465017,0.0157589,0.000174988,0.0490997
0,60568,0.00325952,0.00154438,-0.00264295,0.00447155
0,60570,0.0422132,0.00576444,0.0375209,0.0567714
0,60572,0.00670576,-0.0216275,0.00508705,0.0232077
0,60573,1.39677e-05,0.00247173,0.00122066,0.00275675
0,60575,-0.036738,0.0283566,0.0329156,0.0568965
0,60577,0.00294728,-0.00197832,0.003181,0.00476644
0,60579,0.00921124,0.020174,-0.00991666,0.0242936
0,60580,0.00085062,-0.0114425,0.000304463,0.0114781
0,60582,-0.000574255,-0.00406365,0.00165004,0.0044233
0,60584,0.00241364,-0.00205007,0.000628439,0.00322852
0,60586,0.00240673,-0.0139733,0.00216079,0.0143428
0,60588,0.00404775,-0.000696871,0.00426288,0.00591963
0,60590,0.00337684,-0.0075626,0.00493771,0.00964245
0,60592,0.00861755,-0.00093655,0.00253761,0.00903209
0,60594,0.00296291,4.1296e-05,0.00486061,0.00569264
0,60596,0.015955,-0.00463361,-0.00887199,0.0188346
0,60598,0.000781176,-0.00589684,-0.010095,0.0117171
0,60600,-0.0152626,0.0244512,0.0106132,0.0307156
0,60601,-0.00572419,0.00341949,0.00380591,0.00767751
0,60603,0.00238091,-0.00141473,0.000632716,0.00284087
0,60605,-0.000377343,-0.00204462,0.00407319,0.00457315
0,60607,-0.000771359,-0.00424983,0.00767729,0.0088089
0,60609,0.00418297,-0.0298722,0.0118283,0.0324
0,60610,0.00478183,-0.00527057,-0.00169521,0.00731564
0,60612,-0.0125083,0.00428568,0.00858263,0.0157634
0,60614,-0.0290863,-0.0958656,0.042446,0.108802
0,60615,-0.0165189,-0.0443244,0.00439088,0.0475059
0,60616,0.0068906,-0.00118142,0.0117643,0.0136848
0,60618,0.00152312,0.0022582,0.00125356,0.00299846
0,60620,0.0023782,-0.00215285,0.00357581,0.00480385
0,60622,-0.00117514,0.00202126,-0.00213618,0.00316697
0,60623,-0.00146612,0.0115671,0.0105028,0.0156926
0,60625,-0.018503,0.0210157,0.00976393,0.0296539
0,60626,-0.00641138,0.00187428,0.00613147,0.00906718
0,60628,0.00124065,-0.00207306,0.00113214,0.00266806
