EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c)
0,60003,0.00388049,-0.00570418,0.0180672,0.0193396
0,60005,-0.00141402,-0.00283358,-0.00109458,0.00335063
0,60007,0.000766709,-0.000969048,0.00288317,0.00313681
0,60009,0.00233338,0.00239674,0.00515601,0.00614601
0,60011,0.000450536,-0.00118264,0.00421099,0.00439705
0,60013,0.000572889,0.00301922,-0.00706953,0.00770858
0,60014,0.00328656,0.00230549,-0.00023245,0.00402129
0,60016,-0.00513491,-0.00322121,0.00536234,0.00809309
0,60018,0.00555564,-0.00809852,0.0143821,0.0174154
0,60020,0.00199707,0.0028054,-3.70113e-05,0.00344383
0,60021,0.00109113,0.0043053,0.000172575,0.00444477
0,60022,-0.000122665,0.000187263,-0.00693129,0.0069349
0,60023,0.00288955,0.0086331,-0.00540903,0.0105895
0,60024,-0.00566536,0.00332607,-0.00127003,0.00669119
0,60025,-0.000405393,-0.00232969,-0.00138483,0.00274036
0,60027,-0.0010707,-0.006063,-0.00134802,0.00630267
0,60029,-0.00143777,-0.00281009,-0.0029972,0.00435281
0,60031,0.017144,-0.00279381,-0.0108036,0.0204558
0,60033,-0.000784264,-0.00144804,0.0052937,0.00554392
0,60035,-0.00608112,-0.00495842,0.0121456,0.0144597
0,60037,0.00831236,-0.00571352,0.00925657,0.0136903
0,60039,0.0336732,-0.0157606,0.00376497,0.0373692
0,60042,-0.00433306,-0.00785863,0.000486462,0.00898722
0,60044,0.00548064,-0.000279815,0.000443383,0.00550566
0,60046,0.00400414,-0.000209182,-0.0025753,0.0047654
0,60048,-0.00449275,0.0136813,0.00138224,0.0144663
0,60049,-0.000901,0.0006646,0.00493007,0.0050556
0,60051,0.00498943,-0.00181835,0.00508274,0.00735086
0,60053,0.00156891,-0.00109873,0.00606804,0.00636316
0,60055,0.00233754,0.00283465,0.0027068,0.00456357
0,60057,0.00236548,0.00161561,0.00226896,0.00365429
0,60059,0.00538151,-0.0149838,-0.00453029,0.0165529
0,60060,-0.00174833,-0.00426942,-0.00293867,0.00546995
0,60062,-0.00105557,-0.00399181,0.00297313,0.00508805
0,60064,-0.00765251,-0.00214469,0.00193264,0.00817898
0,60066,-0.000695893,-0.010638,0.00231698,0.0109096
0,60068,-0.005261,0.00208439,-0.00148292,0.00584994
0,60070,0.00692444,0.0191922,-0.00179973,0.0204824
0,60071,0.0101691,-0.0056861,0.0289099,0.0311692
0,60072,0.0030281,0.00896064,0.00216726,0.00970358
0,60073,-0.00295943,0.000753665,0.00397895,0.0050158
0,60075,-0.00190952,0.00097486,0.0041528,0.00467358
0,60077,-0.00063279,0.00275856,-0.00436037,0.00519835
0,60078,0.00746242,0.000665609,0.0100082,0.0125018
0,60080,-0.0103998,-0.00362162,0.00153446,0.0111187
0,60082,0.00877018,-0.0200951,0.00584272,0.0226906
0,60083,0.00490388,-0.000827595,0.0042007,0.0065099
0,60085,-0.00469341,-7.49102e-05,0.00193628,0.00507769
0,60087,0.0079079,0.00232487,0.0106355,0.0134556
0,60089,0.00118683,0.00916846,-0.00108898,0.00930888
0,60090,0.000797397,-0.0035309,0.00425782,0.00558857
0,60092,0.0337673,0.0222415,0.0564518,0.0694386
0,60094,-0.0003695,-0.000963658,-0.0115277,0.0115738
0,60095,0.000861254,-0.0022829,0.00713152,0.00753737
0,60097,0.0035287,0.00597699,0.00252123,0.00738463
0,60098,-0.0150748,0.00816676,-0.0018826,0.0172479
0,60099,-0.00207494,0.00901748,0.0017341,0.00941421
0,60100,-0.012635,0.00590958,0.0105813,0.017508
0,60102,-0.0163808,-0.0150168,0.015192,0.026919
0,60104,-0.0060653,0.00141824,0.00269816,0.00678818
0,60106,0.0256018,0.0051815,0.0432285,0.0505074
0,60108,-0.00282545,0.00408986,0.000924177,0.00505611
0,60110,-0.00292196,-5.93478e-05,-0.000468885,0.00295994
0,60112,0.000118418,-0.00116541,0.00244231,0.00270871
0,60114,-0.00684847,-0.00293944,-0.00187242,0.00768426
0,60116,0.00359572,0.00625796,-0.000853837,0.00726776
0,60117,0.0059024,0.00206629,-0.0101544,0.0119256
0,60118,0.00313679,-0.001481,0.00434657,0.00556107
0,60120,4.54018e-05,-0.000904868,0.00431079,0.00440497
0,60122,0.00208776,-0.00234445,0.000179767,0.00314444
0,60124,0.0109612,-0.00326535,-0.00038609,0.0114438
0,60125,0.00526012,0.027638,-0.000301994,0.0281357
0,60126,0.00460846,-0.00102695,-0.00227013,0.0052389
0,60128,-0.00191252,-0.00202162,0.00342163,0.00441047
0,60130,0.0030217,-0.000111299,0.00153472,0.00339093
0,60132,-0.00143389,-0.0030841,-0.00404093,0.00528175
0,60134,0.00526084,0.00841387,0.0102921,0.0142967
0,60136,0.000392053,0.00252374,0.0580723,0.0581284
