EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c), energy (MeV)
0,30002,-0.0406082,-0.0470237,0.0870555,0.106953
0,30004,-0.0472887,-0.100267,0.00876654,0.111205
0,30006,0.0748472,-0.0208366,0.0866077,0.116349
0,30008,0.0127144,-0.085526,0.104795,0.135862
0,30011,-0.0380273,-0.0221008,-0.119725,0.127548
0,30012,-0.0449392,0.0596172,0.0934631,0.119621
0,30014,-0.0103731,0.0281883,0.106992,0.111129
0,30016,-0.0520667,-0.0952072,0.0214237,0.110609
0,30018,0.0613447,-0.0635948,0.0897922,0.125977
0,30020,-0.0803518,-0.0299574,0.069357,0.110292
0,30022,0.103681,-0.0390284,0.012111,0.111443
